Frame,Angle_deg,Count_0_90,Count_180_270,Difference,Ratio,Normalized_Diff
0,0,73944,74647,703,0.004731107536795634,0.008006833712984055
1,1,73537,74345,808,0.005463815744985867,0.009202733485193623
2,2,73469,74329,860,0.005818752621821676,0.00979498861047836
3,3,73025,73967,942,0.006408512027865462,0.010728929384965832
4,4,72707,73525,818,0.0055938508671152685,0.009348571428571428
5,5,72527,73368,841,0.005764419616847733,0.009600456621004566
6,6,72053,73186,1133,0.0078009350105687865,0.012963386727688788
7,7,72065,72570,505,0.003491547689010267,0.005784650630011455
8,8,71999,72350,351,0.002431606730909116,0.004029850746268657
9,9,71540,72357,817,0.0056776722238823605,0.00939080459770115
10,10,71240,71834,594,0.0041516977228567035,0.0068433179723502305
11,11,70932,71566,634,0.004449185251722831,0.007312572087658593
12,12,70675,71359,684,0.004815748341946295,0.007916666666666667
13,13,70364,71043,679,0.004801742487995643,0.007886178861788619
14,14,69881,70934,1053,0.007477896530909349,0.012287047841306884
15,15,69626,70693,1067,0.007604102081685302,0.012494145199063231
16,16,69272,70353,1081,0.007742166517457475,0.012687793427230048
17,17,68846,69700,854,0.00616401772696433,0.010082644628099173
18,18,68728,69284,556,0.0040286351911427995,0.006579881656804734
19,19,68478,68993,515,0.0037462446625106385,0.006109134045077106
20,20,67996,68660,664,0.004858915817819927,0.007914183551847438
21,21,67623,68281,658,0.004841652931481045,0.007870813397129186
22,22,67266,67875,609,0.004506404422048083,0.007310924369747899
23,23,66823,67464,641,0.004773358552950025,0.007713598074608905
24,24,65970,67128,1158,0.00870035612856692,0.01400241837968561
25,25,65544,66801,1257,0.009497903207525785,0.015236363636363636
26,26,65122,66334,1212,0.009219814995131451,0.014762484774665043
27,27,64733,65882,1149,0.008796845691536194,0.014046454767726162
28,28,64263,64953,690,0.005339895988112927,0.008476658476658476
29,29,63738,64472,734,0.0057249824506668745,0.009061728395061728
30,30,63283,64093,810,0.006359125737972616,0.010012360939431397
31,31,62803,63497,694,0.005494853523357086,0.008610421836228288
32,32,62190,63133,943,0.007524556545885432,0.011758104738154614
33,33,61648,62481,833,0.006710760579719486,0.0104125
34,34,60827,62127,1300,0.010573059843518714,0.016331658291457288
35,35,60090,61593,1503,0.012351766475185523,0.018953341740226986
36,36,59517,61033,1516,0.012575694732476151,0.01918987341772152
37,37,59097,60447,1350,0.011292913069664725,0.01713197969543147
38,38,58473,59346,873,0.0074096707661752345,0.011163682864450127
39,39,58074,58852,778,0.006653781023895455,0.009974358974358975
40,40,57566,58408,842,0.00726024798661769,0.010822622107969151
41,41,56776,57706,930,0.008123547806642092,0.012015503875968992
42,42,56286,57028,742,0.006548175865294668,0.00961139896373057
43,43,55665,56661,996,0.008867047700443352,0.012935064935064935
44,44,54448,55921,1473,0.013346138861455662,0.019254901960784315
45,45,53886,55259,1373,0.012579595950341289,0.018018372703412073
46,46,53135,54576,1441,0.013378392179071776,0.018960526315789473
47,47,52315,53987,1672,0.015728772741811066,0.022116402116402117
48,48,51780,52898,1118,0.010680372188998644,0.014847277556440903
49,49,51173,52064,891,0.00863062661642628,0.01188
50,50,50419,51432,1013,0.009945901365720513,0.01356091030789826
51,51,49533,50728,1195,0.0119188916926821,0.01606182795698925
52,52,48741,49999,1258,0.012740530686651813,0.016977058029689608
53,53,48236,49229,993,0.01018827271328169,0.013455284552845528
54,54,47337,48498,1161,0.01211457192048834,0.01577445652173913
55,55,45673,47765,2092,0.022389177850553308,0.028618331053351573
56,56,44982,47035,2053,0.022311094689024855,0.02820054945054945
57,57,44173,46131,1958,0.02168231750531538,0.027006896551724138
58,58,43503,44442,939,0.010677127750298483,0.013023578363384188
59,59,42797,43699,902,0.010428227894931558,0.01256267409470752
60,60,42289,42978,689,0.008080500076231133,0.009636363636363636
61,61,41793,42359,566,0.00672592451753969,0.0079382889200561
62,62,41420,41942,522,0.006261845925001799,0.007352112676056338
63,63,41055,41553,498,0.0060284718187100525,0.0070438472418670435
64,64,40849,41195,346,0.004217249280873678,0.004914772727272728
65,65,40438,41020,582,0.007144786270225146,0.008314285714285715
66,66,40326,40701,375,0.004628086933984968,0.0053724928366762174
67,67,40125,40473,348,0.004317725005583265,0.005007194244604316
68,68,40001,40282,281,0.003500118331402663,0.004060693641618497
69,69,39873,39888,15,0.00018806183473125965,0.0002183406113537118
70,70,39599,39759,160,0.0020161798432420173,0.002342606149341142
71,71,39528,39550,22,0.0002782063279293862,0.0003240058910162003
72,72,39398,39452,54,0.000684844641724794,0.0008
73,73,39179,39393,214,0.00272361655551596,0.0031797919762258544
74,74,38804,38873,69,0.0008882938321510871,0.0010313901345291479
75,75,38577,38665,88,0.0011392765593847907,0.0013293051359516616
76,76,38671,38316,355,0.004611168119292868,0.005395136778115502
77,77,38610,38060,550,0.007173601147776184,0.008409785932721712
78,78,38865,37922,943,0.012280724601820621,0.01453004622496148
79,79,38601,38119,482,0.006282586027111575,0.007519500780031201
80,80,38977,38046,931,0.012087298599119743,0.014638364779874213
81,81,38788,38646,142,0.0018338197690936798,0.002250396196513471
82,82,38946,38647,299,0.0038534403876638356,0.004776357827476038
83,83,38901,38620,281,0.0036248242411733595,0.004532258064516129
84,84,39083,38935,148,0.0018969981286369813,0.0024104234527687297
85,85,39193,38888,305,0.0039061999718241315,0.005041322314049587
86,86,39326,38953,373,0.004765007217772327,0.006227045075125209
87,87,39413,39034,379,0.004831287365992326,0.006391231028667791
88,88,39471,39193,278,0.003534018102308553,0.004744027303754266
89,89,39603,39420,183,0.0023157814813408754,0.00317157712305026
