offset,mean_difference,std_difference,mean_ratio,std_ratio,max_difference,max_ratio,num_valid_frames
176,2812.6222222222223,1614.5556635239568,0.029207101185016956,0.015815913531655363,5749,0.05950832739019172,90
177,2375.088888888889,1367.7573992524685,0.02471888956115423,0.013374229347432093,5048,0.051528081171018515,90
178,1931.0333333333333,1083.7891805041136,0.020165057988289443,0.010492045573172178,4274,0.04328539598946729,90
179,1469.1777777777777,818.9664296169326,0.015379693174556097,0.007870433342798756,3278,0.03353658536585366,90
180,990.3222222222222,567.9765415300135,0.01038302879748816,0.005467718196026617,2130,0.023785845491453243,90
181,502.24444444444447,351.0410014390883,0.005263003806944848,0.0034625038560401797,1542,0.015255545222501435,90
182,185.2888888888889,152.8585580379198,0.0020695203095919415,0.0016484645498471933,645,0.007305001665635559,90
183,539.1,315.9027997484177,0.005778046806474476,0.0032397232170180298,1304,0.013502878681191235,90
184,1028.611111111111,601.8781843242303,0.010889653754015167,0.00602176371515128,2926,0.03081621906266456,90
185,1525.8777777777777,876.0649497456449,0.01609031699876799,0.00861087591080159,3644,0.038090061462558014,90
186,2008.8,1177.931559981309,0.02111468129083427,0.011540632506437673,4529,0.04690688015908361,90
