Frame,Angle_deg,Count_0_90,Count_180_270,Difference,Ratio,Normalized_Diff
0,0,77096,77835,739,0.004769865294873201,0.008416856492027334
1,1,76689,77531,842,0.005459732849176501,0.00958997722095672
2,2,76441,77530,1089,0.007072760454890856,0.01241733181299886
3,3,76179,77158,979,0.006384629932762478,0.011150341685649203
4,4,75850,76714,864,0.005663197084502242,0.009863013698630137
5,5,75482,76559,1077,0.0070836156036858475,0.012294520547945206
6,6,75174,76186,1012,0.006686046511627907,0.011578947368421053
7,7,75006,75747,741,0.004915325068157847,0.008487972508591065
8,8,74931,75515,584,0.003881791473352565,0.006697247706422018
9,9,74457,75335,878,0.005861461226233711,0.01008036739380023
10,10,74147,74803,656,0.004404162470627727,0.007548906789413118
11,11,73649,74522,873,0.005891841183497446,0.010069204152249135
12,12,73378,74305,927,0.006276958079128945,0.010704387990762124
13,13,73051,73977,926,0.006298120085970019,0.010730011587485516
14,14,72531,73681,1150,0.007865291494542171,0.01338766006984866
15,15,72438,73424,986,0.006759814070834076,0.011505250875145858
16,16,72071,73062,991,0.006828219633026259,0.011604215456674474
17,17,71630,72374,744,0.005166523152134663,0.008752941176470588
18,18,71502,71942,440,0.0030673991243969773,0.005200945626477541
19,19,71060,71637,577,0.004043532800269102,0.006836492890995261
20,20,70732,71278,546,0.003844799661995634,0.006492271105826397
21,21,70353,70893,540,0.0038231171148209505,0.006443914081145584
22,22,69788,70470,682,0.0048624677380256385,0.008167664670658683
23,23,69518,70046,528,0.0037832105700610474,0.006330935251798561
24,24,68638,69693,1055,0.007626634666126899,0.01272617611580217
25,25,68020,69346,1326,0.009653043693490383,0.01605326876513317
26,26,67574,68865,1291,0.009462103943887011,0.01570559610705596
27,27,67176,68394,1218,0.0089842885594158,0.014853658536585365
28,28,66689,67436,747,0.0055694315004659834,0.009154411764705883
29,29,66145,66938,793,0.005958687435660453,0.009742014742014742
30,30,65677,66547,870,0.0065797434656340754,0.01074074074074074
31,31,65182,65933,751,0.005727796209434466,0.009294554455445544
32,32,64730,65555,825,0.006332271558506352,0.010261194029850746
33,33,63996,64888,892,0.006920952174047981,0.01112219451371571
34,34,63146,64520,1374,0.010762458289599423,0.017218045112781955
35,35,62571,63967,1396,0.011032259084227662,0.017559748427672956
36,36,61799,63393,1594,0.012732442967601764,0.020126262626262627
37,37,61365,62790,1425,0.011477588498248158,0.01806083650190114
38,38,60906,61657,751,0.006127460979251487,0.009579081632653062
39,39,60316,61149,833,0.006857942617214835,0.010652173913043479
40,40,59795,60513,718,0.005968015427070519,0.009216944801026958
41,41,59163,59974,811,0.006807289087353215,0.010451030927835052
42,42,58481,59273,792,0.00672588616947195,0.010245795601552393
43,43,57844,58716,872,0.007481125600549073,0.011309987029831388
44,44,56597,58142,1545,0.013465343082997063,0.02014341590612777
45,45,56019,57645,1626,0.014305320945945946,0.021282722513089006
46,46,55254,56945,1691,0.015071435574292106,0.022191601049868767
47,47,54591,56340,1749,0.015766557589853153,0.023073878627968336
48,48,53861,55039,1178,0.010817263544536273,0.015623342175066312
49,49,53239,54189,950,0.008843132144319917,0.012632978723404254
50,50,52291,53541,1250,0.011811172424219517,0.016688918558077435
51,51,51750,52825,1075,0.010279703562036816,0.014429530201342283
52,52,50942,52079,1137,0.011036584773978122,0.015302826379542396
53,53,50243,51290,1047,0.010311918292574829,0.014148648648648648
54,54,49509,50544,1035,0.010344517405774939,0.01402439024390244
55,55,47626,49798,2172,0.022294301198883232,0.029631650750341063
56,56,47100,49048,1948,0.02026043183425552,0.026684931506849315
57,57,46080,48125,2045,0.021707977283583674,0.02809065934065934
58,58,45371,46389,1018,0.011094158674803836,0.014099722991689751
59,59,44837,45619,782,0.008645087114177058,0.010861111111111111
60,60,44124,44863,739,0.008304583815613517,0.010306834030683403
61,61,43816,44418,602,0.006822766733912097,0.00841958041958042
62,62,43435,43993,558,0.006382394656174223,0.00782608695652174
63,63,42870,43404,534,0.006189582029348355,0.007531734837799718
64,64,42847,43220,373,0.0043338329441016885,0.00528328611898017
65,65,42227,42847,620,0.007287772997625596,0.008831908831908831
66,66,42104,42529,425,0.005021681849869436,0.006071428571428571
67,67,41886,42291,405,0.004811290495028333,0.00581896551724138
68,68,41752,42267,515,0.006129565931515491,0.007420749279538905
69,69,41609,41673,64,0.0007684733796018348,0.0009288824383164006
70,70,41341,41533,192,0.002316770036440862,0.0027988338192419825
71,71,41247,41304,57,0.0006904822473380092,0.0008345534407027818
72,72,41101,41191,90,0.0010936664560346084,0.001325478645066274
73,73,40871,40937,66,0.0008067670643457852,0.0009763313609467456
74,74,40478,40769,291,0.00358167070784152,0.004330357142857143
75,75,40032,40181,149,0.0018575542617780161,0.0022406015037593984
76,76,40103,39991,112,0.0013983569306065373,0.0016918429003021148
77,77,40019,39531,488,0.006134506599622879,0.007439024390243902
78,78,40250,39555,695,0.008708727523338136,0.010643185298621747
79,79,40139,39529,610,0.007656775618818095,0.009442724458204335
80,80,40315,39425,890,0.011161274140958114,0.01390625
81,81,40098,39998,100,0.0012485017978425888,0.0015723270440251573
82,82,40223,39791,432,0.005399055165346065,0.006868044515103339
83,83,40340,39918,422,0.005258042811931521,0.006752
84,84,40312,40205,107,0.0013289119068022903,0.0017341977309562398
85,85,40548,40314,234,0.0028938190992060546,0.0038360655737704917
86,86,40651,40347,304,0.003753179090841749,0.005033112582781457
87,87,40531,40228,303,0.0037519038125781645,0.005066889632107024
88,88,40556,40350,206,0.0025461646849430203,0.0034856175972927243
89,89,40661,40519,142,0.00174919931017492,0.002444061962134251
