Frame,Angle_deg,Count_0_90,Count_Offset,Difference,Ratio,Normalized_Diff
0,0,64864,65075,211,0.0016238388782428678,0.0025826193390452875
1,1,64660,64612,48,0.00037131010582338014,0.0005889570552147239
2,2,64069,64174,105,0.000818758138845785,0.001293103448275862
3,3,62881,63346,465,0.003683839432134171,0.005762081784386617
4,4,62690,62442,248,0.0019819071060959625,0.003088418430884184
5,5,61935,61937,2,1.614569878584345e-05,2.4968789013732834e-05
6,6,61611,61418,193,0.0015687358265124482,0.002418546365914787
7,7,60953,60924,29,0.00023794481321332163,0.0003647798742138365
8,8,60514,60321,193,0.0015972193486986387,0.0024337957124842373
9,9,59843,59787,56,0.0004681100058513751,0.0007097591888466414
10,10,59408,59434,26,0.0002187778731424917,0.0003303684879288437
11,11,58762,58813,51,0.00043376568147990643,0.0006505102040816326
12,12,57653,58298,645,0.0055626945865063695,0.0082798459563543
13,13,57105,57676,571,0.0049746909331683815,0.007358247422680412
14,14,56454,56517,63,0.0005576652415221605,0.0008160621761658031
15,15,55767,55661,106,0.0009512869296765625,0.0013802083333333333
16,16,55137,55124,13,0.00011790206872783668,0.00016971279373368146
17,17,54545,54588,43,0.00039401464268369786,0.0005628272251308901
18,18,53894,54034,140,0.0012971610703431918,0.0018421052631578947
19,19,53285,53223,62,0.0005821158973973786,0.0008179419525065963
20,20,52752,52720,32,0.00030339805825242716,0.0004232804232804233
21,21,51902,51882,20,0.00019270793185847528,0.00026595744680851064
22,22,51452,51310,142,0.0013818337517759484,0.0018933333333333332
23,23,49768,50409,641,0.00639867434640686,0.008604026845637583
24,24,49291,48819,472,0.0048109265110590155,0.006369770580296896
25,25,48279,48103,176,0.0018260671079662178,0.0023848238482384824
26,26,47644,47406,238,0.0025039452919516044,0.0032380952380952383
27,27,46749,46859,110,0.0011751132381847705,0.0015027322404371586
28,28,46012,45881,131,0.0014255710445844625,0.0017969821673525378
29,29,45229,45067,162,0.0017940994063967396,0.002231404958677686
30,30,44541,44551,10,0.00011224352354869125,0.00013812154696132598
31,31,43825,43752,73,0.0008335521883599575,0.0010110803324099723
32,32,43160,42856,304,0.0035342261904761905,0.004228094575799722
33,33,41719,42333,614,0.007305001665635559,0.008587412587412588
34,34,41303,41689,386,0.004651050703682283,0.005428973277074543
35,35,40854,40775,79,0.0009677933087505666,0.0011173974540311174
36,36,40534,40324,210,0.0025971456132973855,0.0029787234042553193
37,37,40260,40147,113,0.0014053502804482196,0.0016096866096866097
38,38,39892,39766,126,0.0015817620326897487,0.0018025751072961373
39,39,39661,39540,121,0.00152775848789788,0.0017385057471264369
40,40,39568,39412,156,0.0019751835907824765,0.002251082251082251
41,41,39319,39154,165,0.0021026340269901748,0.0023947750362844702
42,42,39048,38960,88,0.001128089426725464,0.0012827988338192419
43,43,38668,38916,248,0.0031965353681171374,0.003641703377386197
44,44,38509,38544,35,0.00045423280079944975,0.00051698670605613
45,45,38126,38100,26,0.0003410909663369454,0.0003880597014925373
46,46,37831,37578,253,0.0033550371971515338,0.003793103448275862
47,47,37583,37493,90,0.0011987852309659544,0.001355421686746988
48,48,37435,37122,313,0.004198130289577102,0.004756838905775076
49,49,37192,37087,105,0.0014135893051871995,0.0016079632465543644
50,50,37057,36960,97,0.0013105097477606495,0.0014969135802469136
51,51,37069,37169,100,0.0013470190468493225,0.001557632398753894
52,52,37361,37344,17,0.00022756174285523057,0.0002672955974842767
53,53,37378,37504,126,0.0016826473651878956,0.0019968304278922345
54,54,37747,37279,468,0.006237837549649455,0.007512038523274478
55,55,37684,37567,117,0.001554796613998485,0.0019024390243902439
56,56,37679,37817,138,0.0018279114125251668,0.002266009852216749
57,57,38077,37761,316,0.004166776550014505,0.005240464344941957
58,58,38522,38385,137,0.0017813723068121237,0.0022948073701842546
59,59,38419,38449,30,0.00039027944007909664,0.0005084745762711864
60,60,38564,38680,116,0.0015017347625705555,0.0019863013698630137
61,61,38900,38680,220,0.0028357824181490074,0.0038128249566724438
62,62,39089,38821,268,0.003439866512642793,0.004701754385964913
63,63,39171,38996,175,0.002238796423042972,0.003125
64,64,39326,39031,295,0.0037648199905560447,0.005344202898550724
65,65,39471,39234,237,0.003011244520678483,0.004348623853211009
66,66,39730,39754,24,0.0003019475617734387,0.0004485981308411215
67,67,39844,39825,19,0.0002384867388821248,0.0003578154425612053
68,68,39289,39157,132,0.0016826861790276114,0.002481203007518797
69,69,39034,38855,179,0.0022981422280424707,0.0033333333333333335
70,70,39151,39222,71,0.0009059242341112372,0.0013003663003663005
71,71,39564,39817,253,0.003187160655572492,0.004525939177101968
72,72,39742,40061,319,0.00399734345826598,0.005606326889279437
73,73,40107,40397,290,0.0036023054755043226,0.0049913941480206545
74,74,41137,40906,231,0.0028155966992918346,0.003869346733668342
75,75,41411,41561,150,0.0018078387889890566,0.0024752475247524753
76,76,41853,42099,246,0.0029302458547741566,0.003974151857835218
77,77,42601,42571,30,0.00035222843187902126,0.0004761904761904762
78,78,42909,43301,392,0.004547036306692959,0.006134585289514867
79,79,43640,43873,233,0.002662461577137111,0.0035901386748844375
80,80,44282,44271,11,0.00012421939403521056,0.00016717325227963526
81,81,45115,44837,278,0.003090537175382426,0.004161676646706587
82,82,45676,45778,102,0.001115314803070396,0.0015066469719350075
83,83,46012,46459,447,0.00483394794043538,0.00651603498542274
84,84,47634,47233,401,0.004226970390125122,0.005728571428571428
85,85,48485,48938,453,0.004649826016443755,0.006362359550561798
86,86,49355,49656,301,0.0030400662552645666,0.004186369958275382
87,87,50511,50541,30,0.0002968768554803467,0.0004120879120879121
88,88,51507,51269,238,0.002315715731299136,0.0032380952380952383
89,89,52208,52288,80,0.000765579543714592,0.0010796221322537112
