offset,mean_difference,std_difference,mean_ratio,std_ratio,max_difference,max_ratio,num_valid_frames
176,2420.8888888888887,1322.6664855883985,0.022137282035197364,0.013333490711884178,5056,0.054857445727788695,90
177,2011.8777777777777,1093.4520548121163,0.018423688792579145,0.010962697349881007,4326,0.04717695253361831,90
178,1601.7111111111112,871.5777423659086,0.014676810558326498,0.00868484695273629,3592,0.03906980791402902,90
179,1190.2222222222222,656.3369862396701,0.010902516433835004,0.006445874329660907,2862,0.0313788264187352,90
180,782.0777777777778,450.5304337427107,0.007141432710554363,0.004373182432347099,2092,0.022389177850553308,90
181,389.5777777777778,265.88042332253957,0.003578921802723765,0.0025515005714112017,1362,0.014691288777667516,90
182,256.6222222222222,173.3806715985107,0.0025830298307073026,0.002090886945730287,819,0.010648671841479112,90
183,537.9111111111112,362.711934810975,0.005354535371230197,0.0038773585055309817,1283,0.014467586066913994,90
184,924.2,604.0509029323053,0.00894676221417668,0.006309938525353343,2895,0.031543163468767364,90
185,1330.7666666666667,845.0864393658201,0.012760384689903313,0.008702541926090492,3794,0.04093743930598416,90
186,1733.1444444444444,1087.6387733792985,0.016527439461700617,0.011124433002949328,4537,0.04935008429868929,90
